id,host_id,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,neighbourhood_area,neighbourhood_pop,pop_density
772195193586734462,139504671,57.0,0,2.0,1,1,3,3,2,2,0.5,1.0,1320.4675313807531,5,12,0,0,4.818525443935496,0,0.7332381191537447,9.432832,57153,6058.94391
993508926988263521,540024469,100.0,0,1.0,1,0,7,1,1,2,1.0,1.0,860.0,2,20,25,9,4.67,0,3.33,9.784081,63068,6445.980977
973046361084511805,413314931,57.0,0,1.0,1,1,6,1,1,3,1.0,1.0,1000.0,2,60,107,7,4.86,0,3.75,19.370227,88306,4558.852098
52551491,36416123,48.0,0,1.0,1,1,1,2,1,2,1.0,1.0,1200.0,2,7,178,16,5.0,0,0.59,8.371719,81143,9692.513569
723099448414722172,5049349,79.0,1,3.0,1,1,1,2,1,5,1.0,3.0,1400.0,2,30,118,16,4.94,0,1.21,8.371719,81143,9692.513569
875277330195342299,264510054,99.0,0,1.0,1,1,3,1,1,3,1.0,1.0,1100.0,2,1125,0,23,4.71,1,3.81,9.432832,57153,6058.94391
912854361991142365,6819333,67.0,0,4.0,1,1,2,1,1,3,1.0,1.0,1000.0,5,365,0,2,5.0,0,0.37,4.104694,79318,19323.730344
1012870424135169488,138410278,71.0,0,2.0,1,1,5,1,1,3,1.0,1.0,1440.0,5,365,264,0,4.818525443935496,1,0.7332381191537447,8.7,105360,12110.344828
967867948236847699,522585004,87.0,0,1.0,1,1,10,4,1,4,2.0,3.0,1850.0,5,1125,226,10,5.0,0,2.65,6.698505,40776,6087.328441
935993660634313805,161889522,91.0,0,1.0,1,1,1,1,1,2,1.0,1.0,900.0,2,7,0,10,4.91,0,2.11,8.371719,81143,9692.513569
29277460,39094324,85.0,0,4.0,1,1,4,1,1,4,1.0,2.0,1200.0,5,50,0,16,5.0,0,0.27,9.860777,81326,8247.423099
30406008,3732971,100.0,0,1.0,1,1,2,1,1,4,1.0,3.0,815.0,3,3,0,9,5.0,0,0.16,4.104694,79318,19323.730344
2971045,15159669,21.0,0,3.0,1,1,1,2,1,5,2.0,3.0,2050.0,3,4,336,10,5.0,0,0.5,8.371719,81143,9692.513569
